last_name,first_name,type,state,party,twitter,govtrack_id,position
Kline,John,rep,MN,Republican,RepJohnKline,400224,f
Labrador,Raúl,rep,ID,Republican,Raul_Labrador,412419,a
Lamborn,Doug,rep,CO,Republican,RepDLamborn,412191,f
Lance,Leonard,rep,NJ,Republican,RepLanceNJ7,412290,f
Langevin,James,rep,RI,Democrat,JimLangevin,400230,f
Lankford,James,sen,OK,Republican,SenatorLankford,412464,f
Larsen,Rick,rep,WA,Democrat,RepRickLarsen,400232,f
Larson,John,rep,CT,Democrat,RepJohnLarson,400233,f
Latta,Robert,rep,OH,Republican,BobLatta,412256,f
Leahy,Patrick,sen,VT,Democrat,SenatorLeahy,300065,f
Lee,Barbara,rep,CA,Democrat,RepBarbaraLee,400237,f
Lee,Mike,sen,UT,Republican,SenMikeLee,412495,a
Levin,Sander,rep,MI,Democrat,RepSandyLevin,400238,a
Lewis,John,rep,GA,Democrat,RepJohnLewis,400240,a
Lipinski,Daniel,rep,IL,Democrat,RepLipinski,400630,a
LoBiondo,Frank,rep,NJ,Republican,RepLoBiondo,400244,a
Loebsack,David,rep,IA,Democrat,DaveLoebsack,412209,a
Lofgren,Zoe,rep,CA,Democrat,RepZoeLofgren,400245,f
Long,Billy,rep,MO,Republican,USRepLong,412445,f
Lowey,Nita,rep,NY,Democrat,NitaLowey,400246,f
Lucas,Frank,rep,OK,Republican,RepFrankLucas,400247,f
Luetkemeyer,Blaine,rep,MO,Republican,RepBlainePress,412292,f
Luján,Ben,rep,NM,Democrat,RepBenRayLujan,412293,f
Lummis,Cynthia,rep,WY,Republican,CynthiaLummis,412294,a
Lynch,Stephen,rep,MA,Democrat,RepStephenLynch,400249,a
Maloney,Carolyn,rep,NY,Democrat,RepMaloney,400251,a
Marchant,Kenny,rep,TX,Republican,RepKenMarchant,400656,a
Marino,Tom,rep,PA,Republican,RepTomMarino,412468,a
Markey,Edward,sen,MA,Democrat,MarkeyMemo,400253,a
Matsui,Doris,rep,CA,Democrat,DorisMatsui,400663,f
McCain,John,sen,AZ,Republican,SenJohnMcCain,300071,a
McCarthy,Kevin,rep,CA,Republican,GOPLeader,412190,f
McCaul,Michael,rep,TX,Republican,McCaulPressShop,400654,a
McClintock,Tom,rep,CA,Republican,RepMcClintock,412295,f
McCollum,Betty,rep,MN,Democrat,BettyMcCollum04,400259,a
McDermott,Jim,rep,WA,Democrat,RepJimMcDermott,400262,a
McGovern,James,rep,MA,Democrat,RepMcGovern,400263,a
McHenry,Patrick,rep,NC,Republican,PatrickMcHenry,400644,f
McKinley,David,rep,WV,Republican,RepMcKinley,412487,f
McMorris Rodgers,Cathy,rep,WA,Republican,CathyMcMorris,400659,f
McNerney,Jerry,rep,CA,Democrat,RepMcNerney,412189,f
Meehan,Patrick,rep,PA,Republican,RepMeehan,412466,f
