"lat","lng","nfollow","is_rt","nsec"
39.759997789,-98.499998911,1302,0,3000
39.759997789,-98.499998911,233,1,3000
40.6670439,-75.1573972,244,1,3000
29.760803,-95.369506,167,0,3000
40.4165,-3.70256,3,0,3000
33.748547,-84.391502,331,1,3000
25.775084,-80.194702,93,1,3000
38.5815719,-121.4943996,1528,0,3000
19.849998458,-90.533325516,2,0,3000
18.222299,-63.043812,107,0,3000
33.4151843,-111.8314724,164,1,3000
36.174967989,-115.137218227,586,1,3000
-34.608507,-58.373488,111,0,3000
40.714545,-74.007112,373,0,3000
29.999999566,-114.999998406,52,0,3000
10.495368,-66.848877,27475,0,3000
-34.608983,-58.373135,33848,0,3000
7.999998739,-65.999995542,2409,0,4000
-23.548662,-46.638218,21774,0,4000
10.2007985,-64.6334643,7214,0,4000
29.760803,-95.369506,10627,1,4000
45.516018,-122.681425,32,0,4000
-0.1806532,-78.4678382,610,1,4000
10.501823,-66.912105,1354,1,4000
13.699658,-89.206804,3,1,4000
30.7478954,-81.5706109,395,0,4000
10.495368,-66.848877,1940,1,4000
-23.682803,-46.5955455,129,0,4000
33.748547,-84.391502,21530,0,4000
7.999998739,-65.999995542,208,1,4000
19.1817393,-88.4791376,104,0,4000
4.598056,-74.075833,17,1,4000
7.999998739,-65.999995542,576,0,4000
40.9312099,-73.8987469,89,1,4000
-15.7942287,-47.8821658,386,1,4000
23.634501,-102.552784,719,0,4000
12.369928,-1.520255,485,1,4000
38.8799697,-77.1067698,36,1,4000
-33.616667,-70.566667,75,1,4000
47.60357,-122.329449,969,0,4000
26.228993,-98.392129,52,0,5000
29.999999566,-114.999998406,50,0,5000
-37.3281746,-59.135621,537,1,5000
26.228993,-98.392129,52,0,5000
30.921314,-91.840238,61410,0,5000
47.6236,-122.318298,30020,0,5000
28.470769,-81.395459,60468,0,5000
40.416705,-3.703583,26,1,5000
-10.861639,-53.104038,910,0,5000
7.999998739,-65.999995542,45041,0,5000
19.43253,-99.13321,1282,0,5000
7.999998739,-65.999995542,45041,0,5000
51.8132979,4.6900929,3478,0,5000
4.614943,-74.069374,91,0,5000
41.657819,-91.526524,372,0,5000
10.1579312,-67.9972104,42,1,5000
-21.765312,-43.348725,126,1,5000
49.260376,-123.113355,5354,0,5000
42.266757,-72.66898,46,1,5000
-36.723928,-73.113099,384,1,5000
7.999998739,-65.999995542,45041,0,5000
21.521757,-77.781167,10317,0,5000
-0.1806532,-78.4678382,610,1,5000
38.263484,-0.699374,360,0,5000
23.159167,-82.271056,866,0,6000
29.999999566,-114.999998406,52,0,6000
-12.05,-77.050003,9102,0,6000
40.760776462,-111.89104885,434,1,6000
8.537981,-80.782127,385,1,6000
18.471875,-69.891417,309,0,6000
43.651893,-79.381713,922,0,6000
41.603739,-74.180379,78,0,6000
10.146376,-67.988756,22619,1,6000
34.053485,-118.245313,962,0,6000
40.713054,-74.007228,2142,0,6000
54.5259614,15.2551187,35,0,6000
40.463667,-3.74922,1085,1,6000
-23.562837,-46.654633,446,1,6000
29.31166,47.481766,710,1,6000
18.898577,-70.496437,42580,0,6000
35.583449,-97.508297,1381,1,6000
-36.826804,-73.050424,277,0,6000
-34.60402,-58.381563,30,1,6000
40.416705,-3.703583,213,1,7000
37.4315734,-78.6568942,4,0,7000
34.053485,-118.245313,898,1,7000
3.904655,-73.076401,343272,0,7000
40.6781784,-73.9441579,1473,1,7000
56.130366,-106.346771,378,0,7000
52.517037,13.38886,756,0,7000
33.6311395,-80.926628,475,0,7000
41.5829761,2.00636335,52,0,7000
40.38187,-3.69765,424,1,7000
35.4675602,-97.5164276,16,1,7000
25.774267133,-80.193657243,3043,1,7000
32.459533,-114.817108,1358,1,7000
40.463667,-3.74922,309,1,7000
27.6648274,-81.5157535,195,1,7000
39.759997789,-98.499998911,869,1,7000
10.495368,-66.848877,229,0,7000
37.334807,-121.888128,515,1,7000
40.322886,-3.760325,23176,1,7000
41.883229,-87.632398,48,0,7000
20.59999639,-100.38332925,154,0,7000
33.494909,-111.926061,126,1,7000
42.375508,-87.924192,13,1,7000
47.5514926,-101.0020119,178,0,7000
28.49308,-82.472287,3,1,7000
-35.288689,-71.231911,2611,1,7000
19.849998458,-90.533325516,50,0,7000
47.6062095,-122.3320708,1023,1,8000
19.141481,-103.913858,51,0,8000
40.896461,29.371326,2463,0,8000
32.715738,-117.1610838,219,1,8000
36.7441242,-4.0975579,1749,1,8000
18.4561305,-67.0226297,539,1,8000
29.7604267,-95.3698028,1051,0,8000
-6.2087634,106.845599,82,0,8000
38.126113,-105.334443,1493,1,8000
40.713054,-74.007228,227,1,8000
35.4675602,-97.5164276,165,0,8000
-22.9099384,-47.0626332,3907,1,8000
40.896461,29.371326,2463,0,8000
-34.784696,-55.853966,347,0,8000
43.0481221,-76.1474244,47,1,8000
55.378051,-3.435973,82,0,8000
42.331427,-83.0457538,453,1,8000
29.999999566,-114.999998406,52,0,8000
-34.921136,-57.954384,31553,0,8000
10.4696404,-66.8037185,726,1,9000
10.073887165,-69.322779619,1373,0,9000
-15.7755,-47.778831,135,1,9000
51.507276,-0.12766,393,1,9000
43.5397521,-6.7245652,9296,0,9000
42.2655066,2.9581046,220,1,9000
21.031315,-101.705538,541,1,9000
37.88038,-122.538418,2541,1,9000
38.8026097,-116.419389,2288,0,9000
4.15,-73.633333,2157,1,9000
38.9071923,-77.0368707,836,1,9000
40.603006965,22.95467903,15379,1,9000
41.657528,-0.883601,100,1,9000
7.999998739,-65.999995542,1209,1,9000
44.939016,-123.039307,61,1,9000
41.927062,-73.997619,1141,1,9000
51.507276,-0.12766,3016,0,9000
19.141481,-103.913858,51,0,9000
19.43253,-99.13321,278,1,9000
29.999999566,-114.999998406,49,0,9000
48.85693,2.3412,985,1,9000
51.50853,-0.12574,50,1,9000
-22.925023,-43.225021,238,0,9000
39.613321,-105.0166498,61,1,9000
10.495368,-66.848877,2937,0,9000
-5.1476651,119.4327314,1406,0,9000
55.378051,-3.435973,259,1,10000
39.759997789,-98.499998911,186,0,10000
-21.210914,-50.425992,4436,1,10000
-18.909709,-48.261916,1748,0,10000
41.903044,12.495799,29,0,10000
-23.562837,-46.654633,712,0,10000
7.999998739,-65.999995542,75532,0,10000
40.6781784,-73.9441579,3197,0,10000
-0.1806532,-78.4678382,610,1,10000
19.141481,-103.913858,91,0,10000
55.999996861,-3.99999853,1635,1,10000
18.898577,-70.496437,42580,0,10000
39.759997789,-98.499998911,2152,1,10000
10.495368,-66.848877,4526,1,10000
34.192813,-118.332433,1468,1,10000
19.431949,-99.133125,642,1,10000
39.25288,-77.696936,1596,0,10000
-36.8484597,174.7633315,186,1,10000
7.999998739,-65.999995542,2738,0,11000
-34.608983,-58.373135,1273,1,11000
18.109581,-77.297508,73,1,11000
51.5073509,-0.1277583,361,0,11000
41.2033216,-77.1945247,1391,0,11000
41.8695249,-0.3123635,155,1,11000
43.5397521,-6.7245652,9296,0,11000
-19.918177,-43.937053,1021,1,11000
45.516018,-122.681425,2354,0,11000
19.141481,-103.913858,91,0,11000
6.244061,-75.573596,8,0,11000
41.575155,-72.738288,291,1,11000
28.51383,-80.799522,409,0,11000
21.521757,-77.781167,113,0,11000
52.517037,13.38886,1275,1,11000
8.983333,-79.516667,2825,1,11000
-21.210914,-50.425992,4436,1,11000
39.469536,-0.377076,162,0,11000
-30.0002308,-61.8380127,654,1,11000
31.447238,-99.317341,0,1,11000
40.416705,-3.703583,66,1,11000
7.999998739,-65.999995542,3450,1,12000
19.141481,-103.913858,93,0,12000
42.965446,-85.670209,759,0,12000
33.448204,-112.072585,2,1,12000
3.904655,-73.076401,76,1,12000
39.4699075,-0.3762881,144,1,12000
19.1896168,-100.1311868,189,1,12000
60.472024,8.468946,30,1,12000
29.4241219,-98.4936282,381,1,12000
41.883229,-87.632398,117,0,12000
23.159167,-82.271056,77,1,12000
6.245782,-75.574582,1439,0,12000
-10.861639,-53.104038,1233,0,12000
7.999998739,-65.999995542,371,0,12000
-31.5613888,-52.3340677,740,0,12000
7.999998739,-65.999995542,187,1,12000
38.895107055,-77.036368477,3366,1,12000
36.8507689,-76.2858726,6245,1,12000
7.999998739,-65.999995542,5202,0,12000
25.775084,-80.194702,300,0,12000
-23.416599,-57.283298,288,1,13000
40.74322,-74.155894,496,0,13000
-22.0801287,-46.5797189,2593,0,13000
10.664022,-71.6408997,2950,0,13000
19.141481,-103.913858,93,0,13000
55.378051,-3.435973,849,1,13000
19.43253,-99.13321,39,1,13000
43.606354,1.442847,1184,0,13000
10.488007909,-66.879186007,429,1,13000
42.921241,-75.59655,29,1,13000
40.796788,-85.822334,395,1,13000
-33.928905,18.417249,10840,0,13000
-22.275276,-42.419415,269,1,13000
10.488007909,-66.879186007,1791,1,13000
-30.862569,-64.537943,1410,1,14000
41.88865,-87.794492,225,1,14000
-15.7942287,-47.8821658,856,1,14000
34.758205,-77.381748,1526,1,14000
40.463667,-3.74922,73,1,14000
48.1704042,11.5337382,1852,0,14000
18.109581,-77.297508,361,1,14000
43.306511,-1.999898,954,1,14000
-7.234506,-48.238007,425,1,14000
40.416705,-3.703583,1648,1,14000
40.7305991,-73.9865812,45,0,14000
10.171745716,-69.376672404,169,1,14000
19.141481,-103.913858,97,0,14000
28.538331,-81.378879,3896,0,14000
43.553249,7.01325,82,1,14000
-34.608507,-58.373488,747,1,14000
42.016668992,-4.533327193,214,1,14000
-0.1806532,-78.4678382,85,1,14000
19.141481,-103.913858,97,0,14000
40.416705,-3.703583,271,1,14000
-30.0002308,-61.8380127,654,1,14000
-12.046067,-77.052008,1648,1,15000
35.472028,-97.521062,17792,1,15000
6.251836402,-75.563586198,61,0,15000
-34.833458954,-56.167346767,162,0,15000
47.171497,8.5162,1387543,1,15000
-25.744859639,28.187827047,253,1,15000
-20.209985,-70.129095,1686,1,15000
33.7490987,-84.3901849,129,0,15000
-33.456936631,-70.648267471,9276,0,15000
-34.608983,-58.373135,168,1,15000
10.496051,-66.886336,1141,1,15000
-17.390033,-66.160445,528,0,15000
39.759997789,-98.499998911,5345,0,15000
-0.190413,-78.495995,630,1,15000
43.610855,3.876114,488,1,15000
53.3828368,-6.2762903,73,0,15000
40.896461,29.371326,263,0,15000
-34.6037232,-58.3815931,144,1,15000
39.759997789,-98.499998911,774,1,15000
40.0048655,-75.117998,641,0,15000
18.938704,72.835371,215,1,15000
27.947423,-82.458776,384,0,16000
-34.613149508,-58.377226623,116,1,16000
10.399716745,-75.514437061,46,1,16000
26.145916146,-80.441715726,23650,0,16000
18.4533009,-69.9553023,73,0,16000
38.757068307,-77.53848791,2783,1,16000
29.999999566,-114.999998406,52,0,16000
-0.1806532,-78.4678382,610,1,16000
51.507276,-0.12766,353,0,16000
7.999998739,-65.999995542,762,0,16000
8.597518,-71.144855,89,1,16000
8.537981,-80.782127,235,1,16000
41.546421,2.108794,3381,0,16000
20.816917636,-102.763469494,5159,1,16000
14.569156,121.091522,215,0,16000
