State,County,Obama,Romney,obama_rate,romney_rate
CA,Yolo,38856,19080,67.1,32.9
CA,Yuba,5817,8746,39.9,60.1
CO,Colorado,5807,1238490,0.5,99.5
CO,Adams,523,90843,0.6,99.4
CO,Alamosa,31,3782,0.8,99.2
CO,Arapahoe,560,135433,0.4,99.6
CO,Archuleta,23,2637,0.9,99.1
CO,Baca,19,462,4.0,96.0
CO,Bent,8,778,1.0,99.0
CO,Boulder,252,120485,0.2,99.8
CO,Broomfield,76,16653,0.5,99.5
CO,Chaffee,33,4967,0.7,99.3
CO,Cheyenne,6,162,3.6,96.4
CO,Clear Creek,13,3041,0.4,99.6
CO,Conejos,11,2180,0.5,99.5
CO,Costilla,14,1317,1.1,98.9
CO,Crowley,8,535,1.5,98.5
CO,Custer,9,862,1.0,99.0
CO,Delta,58,4542,1.3,98.7
CO,Denver,387,209759,0.2,99.8
CO,Dolores,6,329,1.8,98.2
CO,Douglas,200,54093,0.4,99.6
CO,Eagle,23,12598,0.2,99.8
CO,Elbert,43,3542,1.2,98.8
CO,El Paso,764,104989,0.7,99.3
CO,Fremont,88,6644,1.3,98.7
CO,Garfield,53,10989,0.5,99.5
CO,Gilpin,8,1854,0.4,99.6
CO,Grand,23,3575,0.6,99.4
CO,Gunnison,21,4563,0.5,99.5
CO,Hinsdale,4,228,1.7,98.3
CO,Huerfano,12,1897,0.6,99.4
CO,Jackson,5,216,2.3,97.7
CO,Jefferson,598,153069,0.4,99.6
CO,Kiowa,3,118,2.5,97.5
CO,Kit Carson,12,789,1.5,98.5
CO,Lake,16,1807,0.9,99.1
CO,La Plata,55,15063,0.4,99.6
CO,Larimer,409,83103,0.5,99.5
CO,Las Animas,15,3282,0.5,99.5
CO,Lincoln,9,537,1.6,98.4
CO,Logan,45,2675,1.7,98.3
CO,Mesa,185,22448,0.8,99.2
CO,Mineral,1,291,0.3,99.7
CO,Moffat,25,1291,1.9,98.1
CO,Montezuma,33,4486,0.7,99.3
CO,Montrose,73,5852,1.2,98.8
CO,Morgan,51,3761,1.3,98.7
CO,Otero,36,3566,1.0,99.0
CO,Ouray,10,1640,0.6,99.4
CO,Park,48,3721,1.3,98.7
CO,Phillips,4,588,0.7,99.3
CO,Pitkin,7,6648,0.1,99.9
CO,Prowers,13,1498,0.9,99.1
CO,Pueblo,233,40624,0.6,99.4
CO,Rio Blanco,15,561,2.6,97.4
CO,Rio Grande,25,2428,1.0,99.0
CO,Routt,18,7389,0.2,99.8
CO,Saguache,10,1762,0.6,99.4
CO,San Juan,3,266,1.1,98.9
CO,San Miguel,12,2961,0.4,99.6
CO,Sedgwick,5,419,1.2,98.8
CO,Summit,21,9169,0.2,99.8
CO,Teller,40,3894,1.0,99.0
CO,Washington,9,461,1.9,98.1
CO,Weld,469,47418,1.0,99.0
CO,Yuma,18,950,1.9,98.1
CT,Connecticut,631432,912531,40.9,59.1
CT,Andover,724,904,44.5,55.5
CT,Ansonia,2596,4273,37.8,62.2
CT,Ashford,803,1331,37.6,62.4
CT,Avon,5537,6305,46.8,53.2
CT,Barkhamsted,1033,1033,50.0,50.0
CT,Beacon Falls,1598,1300,55.1,44.9
CT,Berlin,5361,5499,49.4,50.6
CT,Bethany,1536,1615,48.7,51.3
CT,Bethel,4445,4777,48.2,51.8
