type,coordinates,location_displayname,City,State,posted_time ,epoch_time
Polygon,"-76.420402, 36.786146; -76.420402, 36.897382; -76.291434, 36.897382; -76.291434, 36.786146","Portsmouth, VA",Portsmouth, VA,12/17/14 6:09 AM,1418796579
Polygon,"-85.651377, 38.306499; -85.651377, 38.37368; -85.525278, 38.37368; -85.525278, 38.306499","Prospect, KY",Prospect, KY,12/17/14 2:54 PM,1418828083
Polygon,"-111.740949, 40.18565; -111.740949, 40.311641; -111.602629, 40.311641; -111.602629, 40.18565","Provo, UT",Provo, UT,12/16/14 4:57 AM,1418705847
Polygon,"-87.877863, 42.677972; -87.877863, 42.799314; -87.770388, 42.799314; -87.770388, 42.677972","Racine, WI",Racine, WI,12/17/14 3:09 PM,1418828965
Polygon,"-74.305281, 40.592141; -74.305281, 40.627526; -74.255435, 40.627526; -74.255435, 40.592141","Rahway, NJ",Rahway, NJ,12/16/14 11:08 PM,1418771295
Polygon,"-78.818343, 35.7158045; -78.818343, 35.9718611; -78.497331, 35.9718611; -78.497331, 35.7158045","Raleigh, NC",Raleigh, NC,12/17/14 2:16 PM,1418825767
Polygon,"-78.818343, 35.7158045; -78.818343, 35.9718611; -78.497331, 35.9718611; -78.497331, 35.7158045","Raleigh, NC",Raleigh, NC,12/17/14 2:51 PM,1418827865
Polygon,"-78.818343, 35.7158045; -78.818343, 35.9718611; -78.497331, 35.9718611; -78.497331, 35.7158045","Raleigh, NC",Raleigh, NC,12/17/14 3:03 PM,1418828592
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/14 4:39 AM,1418704788
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/14 1:52 PM,1418737931
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/14 9:16 PM,1418764593
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/16/14 11:12 PM,1418771521
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/14 1:24 AM,1418779441
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/14 4:34 AM,1418790858
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/14 4:46 AM,1418791605
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/14 4:47 AM,1418791635
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/14 12:51 PM,1418820695
Polygon,"-77.601044, 37.447046; -77.601044, 37.61272; -77.385297, 37.61272; -77.385297, 37.447046","Richmond, VA",Richmond, VA,12/17/14 2:37 PM,1418827037
Polygon,"-82.369079, 27.755502; -82.369079, 27.899232; -82.2443655, 27.899232; -82.2443655, 27.755502","Riverview, FL",Riverview, FL,12/16/14 1:15 AM,1418692559
Polygon,"-82.369079, 27.755502; -82.369079, 27.899232; -82.2443655, 27.899232; -82.2443655, 27.755502","Riverview, FL",Riverview, FL,12/17/14 2:56 PM,1418828175
Polygon,"-81.086454, 34.8691508; -81.086454, 34.9619861; -80.9430979, 34.9619861; -80.9430979, 34.8691508","Rock Hill, SC",Rock Hill, SC,12/16/14 1:30 PM,1418736656
Polygon,"-81.086454, 34.8691508; -81.086454, 34.9619861; -80.9430979, 34.9619861; -80.9430979, 34.8691508","Rock Hill, SC",Rock Hill, SC,12/17/14 12:52 PM,1418820767
Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/16/14 12:55 AM,1418691351
Polygon,"-121.576613, 38.43792; -121.576613, 38.685512; -121.362715, 38.685512; -121.362715, 38.43792","Sacramento, CA",Sacramento, CA,12/17/14 3:19 AM,1418786361
