country_code,location_coord_type,location_coords,location_displayname,City,State,posted_time ,epoch_time
United States,Polygon,"-76.334287, 36.820791; -76.334287, 36.969373; -76.177085, 36.969373; -76.177085, 36.820791","Norfolk, VA",Norfolk, VA,12/17/2014 14:25,1418826353
United States,Polygon,"-76.334287, 36.820791; -76.334287, 36.969373; -76.177085, 36.969373; -76.177085, 36.820791","Norfolk, VA",Norfolk, VA,12/17/2014 14:28,1418826485
United States,Polygon,"-74.057043, 40.757384; -74.057043, 40.823639; -73.991972, 40.823639; -73.991972, 40.757384","North Bergen, NJ",North Bergen, NJ,12/17/2014 7:18,1418800698
United States,Polygon,"-84.32187, 33.752879; -84.32187, 36.588118; -75.40012, 36.588118; -75.40012, 33.752879","North Carolina, US",North Carolina, US,12/16/2014 3:37,1418701025
United States,Polygon,"-84.32187, 33.752879; -84.32187, 36.588118; -75.40012, 36.588118; -75.40012, 33.752879","North Carolina, US",North Carolina, US,12/16/2014 21:50,1418766649
United States,Polygon,"-84.32187, 33.752879; -84.32187, 36.588118; -75.40012, 36.588118; -75.40012, 33.752879","North Carolina, US",North Carolina, US,12/17/2014 4:59,1418792377
United States,Polygon,"-121.424332, 38.638355; -121.424332, 38.704483; -121.335815, 38.704483; -121.335815, 38.638355","North Highlands, CA",North Highlands, CA,12/16/2014 19:40,1418758838
United States,Polygon,"-82.0691698, 41.346019; -82.0691698, 41.418908; -81.970054, 41.418908; -81.970054, 41.346019","North Ridgeville, OH",North Ridgeville, OH,12/17/2014 14:43,1418827433
United States,Polygon,"-87.855111, 41.835308; -87.855111, 41.85777; -87.803466, 41.85777; -87.803466, 41.835308","North Riverside, IL",North Riverside, IL,12/17/2014 14:47,1418827644
United States,Polygon,"-88.003635, 41.812505; -88.003635, 41.8620285; -87.900262, 41.8620285; -87.900262, 41.812505","Oak Brook, IL",Oak Brook, IL,12/17/2014 11:06,1418814392
United States,Polygon,"-81.442112, 28.450553; -81.442112, 28.487021; -81.396669, 28.487021; -81.396669, 28.450553","Oak Ridge, FL",Oak Ridge, FL,12/16/2014 0:16,1418688997
United States,Polygon,"-81.442112, 28.450553; -81.442112, 28.487021; -81.396669, 28.487021; -81.396669, 28.450553","Oak Ridge, FL",Oak Ridge, FL,12/17/2014 14:12,1418825534
United States,Polygon,"-122.34266, 37.699279; -122.34266, 37.8847092; -122.114711, 37.8847092; -122.114711, 37.699279","Oakland, CA",Oakland, CA,12/16/2014 1:39,1418693954
United States,Polygon,"-122.34266, 37.699279; -122.34266, 37.8847092; -122.114711, 37.8847092; -122.114711, 37.699279","Oakland, CA",Oakland, CA,12/16/2014 1:40,1418694015
United States,Polygon,"-117.399853, 33.152639; -117.399853, 33.299993; -117.241905, 33.299993; -117.241905, 33.152639","Oceanside, CA",Oceanside, CA,12/16/2014 23:47,1418773659
United States,Polygon,"-84.820272, 38.403186; -84.820272, 42.327133; -80.518626, 42.327133; -80.518626, 38.403186","Ohio, US",Ohio, US,12/17/2014 7:41,1418802086
United States,Polygon,"-84.820272, 38.403186; -84.820272, 42.327133; -80.518626, 42.327133; -80.518626, 38.403186","Ohio, US",Ohio, US,12/17/2014 15:06,1418828793
United States,Polygon,"-103.002648, 33.615765; -103.002648, 37.002328; -94.431332, 37.002328; -94.431332, 33.615765","Oklahoma, US",Oklahoma, US,12/16/2014 4:53,1418705590
United States,Polygon,"-96.234587, 41.175884; -96.234587, 41.375558; -95.872275, 41.375558; -95.872275, 41.175884","Omaha, NE",Omaha, NE,12/17/2014 13:53,1418824403
United States,Polygon,"-96.234587, 41.175884; -96.234587, 41.375558; -95.872275, 41.375558; -95.872275, 41.175884","Omaha, NE",Omaha, NE,12/17/2014 15:06,1418828770
United States,Polygon,"-81.507905, 28.3882177; -81.507905, 28.615139; -81.2276403, 28.615139; -81.2276403, 28.3882177","Orlando, FL",Orlando, FL,12/17/2014 14:51,1418827916
United States,Polygon,"-81.279617, 29.424649; -81.279617, 29.627243; -81.158741, 29.627243; -81.158741, 29.424649","Palm Coast, FL",Palm Coast, FL,12/17/2014 15:03,1418828608
United States,Polygon,"-118.262388, 34.521265; -118.262388, 34.646028; -117.988004, 34.646028; -117.988004, 34.521265","Palmdale, CA",Palmdale, CA,12/16/2014 5:41,1418708512
United States,Polygon,"-118.262388, 34.521265; -118.262388, 34.646028; -117.988004, 34.646028; -117.988004, 34.521265","Palmdale, CA",Palmdale, CA,12/16/2014 22:08,1418767689
United States,Polygon,"-122.190523, 37.362824; -122.190523, 37.465918; -122.097537, 37.465918; -122.097537, 37.362824","Palo Alto, CA",Palo Alto, CA,12/17/2014 15:12,1418829144
United States,Polygon,"-96.954509, 33.202712; -96.954509, 33.221018; -96.925277, 33.221018; -96.925277, 33.202712","Paloma Creek South, TX",Paloma Creek South, TX,12/16/2014 21:03,1418763824
United States,Polygon,"-96.954509, 33.202712; -96.954509, 33.221018; -96.925277, 33.221018; -96.925277, 33.202712","Paloma Creek South, TX",Paloma Creek South, TX,12/16/2014 21:04,1418763891
United States,Polygon,"-96.954509, 33.202712; -96.954509, 33.221018; -96.925277, 33.221018; -96.925277, 33.202712","Paloma Creek South, TX",Paloma Creek South, TX,12/16/2014 21:10,1418764222
United States,Polygon,"-115.2092535, 35.984784; -115.2092535, 36.137145; -115.0610763, 36.137145; -115.0610763, 35.984784","Paradise, NV",Paradise, NV,12/17/2014 13:50,1418824257
United States,Polygon,"-81.785053, 41.3503583; -81.785053, 41.419489; -81.68457, 41.419489; -81.68457, 41.3503583","Parma, OH",Parma, OH,12/16/2014 7:31,1418715099
United States,Polygon,"-74.483462, 40.8279562; -74.483462, 40.885137; -74.399375, 40.885137; -74.399375, 40.8279562","Parsippany, NJ",Parsippany, NJ,12/17/2014 5:16,1418793381
United States,Polygon,"-118.198346, 34.117025; -118.198346, 34.237595; -118.065582, 34.237595; -118.065582, 34.117025","Pasadena, CA",Pasadena, CA,12/17/2014 5:38,1418794687
United States,Polygon,"-95.438435, 29.497739; -95.438435, 29.59803; -95.215364, 29.59803; -95.215364, 29.497739","Pearland, TX",Pearland, TX,12/16/2014 0:25,1418689546
United States,Polygon,"-80.442683, 25.992486; -80.442683, 26.0632929; -80.2133136, 26.0632929; -80.2133136, 25.992486","Pembroke Pines, FL",Pembroke Pines, FL,12/16/2014 19:51,1418759482
United States,Polygon,"-80.442683, 25.992486; -80.442683, 26.0632929; -80.2133136, 26.0632929; -80.2133136, 25.992486","Pembroke Pines, FL",Pembroke Pines, FL,12/17/2014 12:47,1418820431
United States,Polygon,"-80.519851, 39.719801; -80.519851, 42.516072; -74.689517, 42.516072; -74.689517, 39.719801","Pennsylvania, US",Pennsylvania, US,12/17/2014 2:04,1418781846
United States,Polygon,"-80.519851, 39.719801; -80.519851, 42.516072; -74.689517, 42.516072; -74.689517, 39.719801","Pennsylvania, US",Pennsylvania, US,12/17/2014 14:23,1418826199
United States,Polygon,"-80.519851, 39.719801; -80.519851, 42.516072; -74.689517, 42.516072; -74.689517, 39.719801","Pennsylvania, US",Pennsylvania, US,12/17/2014 14:52,1418827943
United States,Polygon,"-74.292392, 40.499466; -74.292392, 40.543459; -74.250015, 40.543459; -74.250015, 40.499466","Perth Amboy, NJ",Perth Amboy, NJ,12/16/2014 3:48,1418701690
United States,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811","Philadelphia, PA",Philadelphia, PA,12/17/2014 3:54,1418788491
United States,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811","Philadelphia, PA",Philadelphia, PA,12/17/2014 14:13,1418825624
United States,Polygon,"-75.280284, 39.871811; -75.280284, 40.13792; -74.955712, 40.13792; -74.955712, 39.871811","Philadelphia, PA",Philadelphia, PA,12/17/2014 14:50,1418827809
